Year,Month,Week Days Number,Website
2016,May,1,https://coinmarketcap.com/historical/20160501/
2016,May,8,https://coinmarketcap.com/historical/20160508/
2016,May,15,https://coinmarketcap.com/historical/20160515/
2016,May,22,https://coinmarketcap.com/historical/20160522/
2016,May,29,https://coinmarketcap.com/historical/20160529/
2016,June,5,https://coinmarketcap.com/historical/20160605/
2016,June,12,https://coinmarketcap.com/historical/20160612/
2016,June,19,https://coinmarketcap.com/historical/20160619/
2016,June,26,https://coinmarketcap.com/historical/20160626/
2016,July,3,https://coinmarketcap.com/historical/20160703/
2016,July,10,https://coinmarketcap.com/historical/20160710/
2016,July,17,https://coinmarketcap.com/historical/20160717/
2016,July,24,https://coinmarketcap.com/historical/20160724/
2016,July,31,https://coinmarketcap.com/historical/20160731/
2016,August,7,https://coinmarketcap.com/historical/20160807/
2016,August,14,https://coinmarketcap.com/historical/20160814/
2016,August,21,https://coinmarketcap.com/historical/20160821/
2016,August,28,https://coinmarketcap.com/historical/20160828/
2016,September,4,https://coinmarketcap.com/historical/20160904/
2016,September,11,https://coinmarketcap.com/historical/20160911/
2016,September,18,https://coinmarketcap.com/historical/20160918/
2016,September,25,https://coinmarketcap.com/historical/20160925/
2016,October,2,https://coinmarketcap.com/historical/20161002/
2016,October,9,https://coinmarketcap.com/historical/20161009/
2016,October,16,https://coinmarketcap.com/historical/20161016/
2016,October,23,https://coinmarketcap.com/historical/20161023/
2016,October,30,https://coinmarketcap.com/historical/20161030/
2016,November,6,https://coinmarketcap.com/historical/20161106/
2016,November,13,https://coinmarketcap.com/historical/20161113/
2016,November,20,https://coinmarketcap.com/historical/20161120/
2016,November,27,https://coinmarketcap.com/historical/20161127/
2016,December,4,https://coinmarketcap.com/historical/20161204/
2016,December,11,https://coinmarketcap.com/historical/20161211/
2016,December,18,https://coinmarketcap.com/historical/20161218/
2016,December,25,https://coinmarketcap.com/historical/20161225/
2017,January,1,https://coinmarketcap.com/historical/20170101/
2017,January,8,https://coinmarketcap.com/historical/20170108/
2017,January,15,https://coinmarketcap.com/historical/20170115/
2017,January,22,https://coinmarketcap.com/historical/20170122/
2017,January,29,https://coinmarketcap.com/historical/20170129/
2017,February,5,https://coinmarketcap.com/historical/20170205/
2017,February,12,https://coinmarketcap.com/historical/20170212/
2017,February,19,https://coinmarketcap.com/historical/20170219/
2017,February,26,https://coinmarketcap.com/historical/20170226/
2017,March,5,https://coinmarketcap.com/historical/20170305/
2017,March,12,https://coinmarketcap.com/historical/20170312/
2017,March,19,https://coinmarketcap.com/historical/20170319/
2017,March,26,https://coinmarketcap.com/historical/20170326/
2017,April,2,https://coinmarketcap.com/historical/20170402/
2017,April,9,https://coinmarketcap.com/historical/20170409/
2017,April,16,https://coinmarketcap.com/historical/20170416/
2017,April,23,https://coinmarketcap.com/historical/20170423/
2017,April,30,https://coinmarketcap.com/historical/20170430/
2017,May,7,https://coinmarketcap.com/historical/20170507/
2017,May,14,https://coinmarketcap.com/historical/20170514/
2017,May,21,https://coinmarketcap.com/historical/20170521/
2017,May,28,https://coinmarketcap.com/historical/20170528/
2017,June,4,https://coinmarketcap.com/historical/20170604/
2017,June,11,https://coinmarketcap.com/historical/20170611/
2017,June,18,https://coinmarketcap.com/historical/20170618/
2017,June,25,https://coinmarketcap.com/historical/20170625/
2017,July,2,https://coinmarketcap.com/historical/20170702/
2017,July,9,https://coinmarketcap.com/historical/20170709/
2017,July,16,https://coinmarketcap.com/historical/20170716/
2017,July,23,https://coinmarketcap.com/historical/20170723/
2017,July,30,https://coinmarketcap.com/historical/20170730/
2017,August,6,https://coinmarketcap.com/historical/20170806/
2017,August,13,https://coinmarketcap.com/historical/20170813/
2017,August,20,https://coinmarketcap.com/historical/20170820/
2017,August,27,https://coinmarketcap.com/historical/20170827/
2017,September,3,https://coinmarketcap.com/historical/20170903/
2017,September,10,https://coinmarketcap.com/historical/20170910/
2017,September,17,https://coinmarketcap.com/historical/20170917/
2017,September,24,https://coinmarketcap.com/historical/20170924/
2017,October,1,https://coinmarketcap.com/historical/20171001/
2017,October,8,https://coinmarketcap.com/historical/20171008/
2017,October,15,https://coinmarketcap.com/historical/20171015/
2017,October,22,https://coinmarketcap.com/historical/20171022/
2017,October,29,https://coinmarketcap.com/historical/20171029/
2017,November,5,https://coinmarketcap.com/historical/20171105/
2017,November,12,https://coinmarketcap.com/historical/20171112/
2017,November,19,https://coinmarketcap.com/historical/20171119/
2017,November,26,https://coinmarketcap.com/historical/20171126/
2017,December,3,https://coinmarketcap.com/historical/20171203/
2017,December,10,https://coinmarketcap.com/historical/20171210/
2017,December,17,https://coinmarketcap.com/historical/20171217/
2017,December,24,https://coinmarketcap.com/historical/20171224/
2017,December,31,https://coinmarketcap.com/historical/20171231/
2018,January,7,https://coinmarketcap.com/historical/20180107/
2018,January,14,https://coinmarketcap.com/historical/20180114/
2018,January,21,https://coinmarketcap.com/historical/20180121/
2018,January,28,https://coinmarketcap.com/historical/20180128/
2018,February,4,https://coinmarketcap.com/historical/20180204/
2018,February,11,https://coinmarketcap.com/historical/20180211/
2018,February,18,https://coinmarketcap.com/historical/20180218/
2018,February,25,https://coinmarketcap.com/historical/20180225/
2018,March,4,https://coinmarketcap.com/historical/20180304/
2018,March,11,https://coinmarketcap.com/historical/20180311/
2018,March,18,https://coinmarketcap.com/historical/20180318/
2018,March,25,https://coinmarketcap.com/historical/20180325/
2018,April,1,https://coinmarketcap.com/historical/20180401/
2018,April,8,https://coinmarketcap.com/historical/20180408/
2018,April,15,https://coinmarketcap.com/historical/20180415/
2018,April,22,https://coinmarketcap.com/historical/20180422/
2018,April,29,https://coinmarketcap.com/historical/20180429/
2018,May,6,https://coinmarketcap.com/historical/20180506/
2018,May,13,https://coinmarketcap.com/historical/20180513/
2018,May,20,https://coinmarketcap.com/historical/20180520/
2018,May,27,https://coinmarketcap.com/historical/20180527/
2018,June,3,https://coinmarketcap.com/historical/20180603/
2018,June,10,https://coinmarketcap.com/historical/20180610/
2018,June,17,https://coinmarketcap.com/historical/20180617/
2018,June,24,https://coinmarketcap.com/historical/20180624/
2018,July,1,https://coinmarketcap.com/historical/20180701/
2018,July,8,https://coinmarketcap.com/historical/20180708/
2018,July,15,https://coinmarketcap.com/historical/20180715/
2018,July,22,https://coinmarketcap.com/historical/20180722/
2018,July,29,https://coinmarketcap.com/historical/20180729/
2018,August,5,https://coinmarketcap.com/historical/20180805/
2018,August,12,https://coinmarketcap.com/historical/20180812/
2018,August,19,https://coinmarketcap.com/historical/20180819/
2018,August,26,https://coinmarketcap.com/historical/20180826/
2018,September,2,https://coinmarketcap.com/historical/20180902/
2018,September,9,https://coinmarketcap.com/historical/20180909/
2018,September,16,https://coinmarketcap.com/historical/20180916/
2018,September,23,https://coinmarketcap.com/historical/20180923/
2018,September,30,https://coinmarketcap.com/historical/20180930/
2018,October,7,https://coinmarketcap.com/historical/20181007/
2018,October,14,https://coinmarketcap.com/historical/20181014/
2018,October,21,https://coinmarketcap.com/historical/20181021/
2018,October,28,https://coinmarketcap.com/historical/20181028/
2018,November,4,https://coinmarketcap.com/historical/20181104/
2018,November,11,https://coinmarketcap.com/historical/20181111/
2018,November,18,https://coinmarketcap.com/historical/20181118/
2018,November,25,https://coinmarketcap.com/historical/20181125/
2018,December,2,https://coinmarketcap.com/historical/20181202/
2018,December,9,https://coinmarketcap.com/historical/20181209/
2018,December,16,https://coinmarketcap.com/historical/20181216/
2018,December,23,https://coinmarketcap.com/historical/20181223/
2018,December,30,https://coinmarketcap.com/historical/20181230/
2019,January,6,https://coinmarketcap.com/historical/20190106/
2019,January,13,https://coinmarketcap.com/historical/20190113/
2019,January,20,https://coinmarketcap.com/historical/20190120/
2019,January,27,https://coinmarketcap.com/historical/20190127/
2019,February,3,https://coinmarketcap.com/historical/20190203/
2019,February,10,https://coinmarketcap.com/historical/20190210/
2019,February,17,https://coinmarketcap.com/historical/20190217/
2019,February,24,https://coinmarketcap.com/historical/20190224/
2019,March,3,https://coinmarketcap.com/historical/20190303/
2019,March,10,https://coinmarketcap.com/historical/20190310/
2019,March,17,https://coinmarketcap.com/historical/20190317/
2019,March,24,https://coinmarketcap.com/historical/20190324/
2019,March,31,https://coinmarketcap.com/historical/20190331/
2019,April,7,https://coinmarketcap.com/historical/20190407/
2019,April,14,https://coinmarketcap.com/historical/20190414/
2019,April,21,https://coinmarketcap.com/historical/20190421/
2019,April,28,https://coinmarketcap.com/historical/20190428/
2019,May,5,https://coinmarketcap.com/historical/20190505/
2019,May,12,https://coinmarketcap.com/historical/20190512/
2019,May,19,https://coinmarketcap.com/historical/20190519/
2019,May,26,https://coinmarketcap.com/historical/20190526/
2019,June,2,https://coinmarketcap.com/historical/20190602/
2019,June,9,https://coinmarketcap.com/historical/20190609/
2019,June,16,https://coinmarketcap.com/historical/20190616/
2019,June,23,https://coinmarketcap.com/historical/20190623/
2019,June,30,https://coinmarketcap.com/historical/20190630/
2019,July,7,https://coinmarketcap.com/historical/20190707/
2019,July,14,https://coinmarketcap.com/historical/20190714/
2019,July,21,https://coinmarketcap.com/historical/20190721/
2019,July,28,https://coinmarketcap.com/historical/20190728/
2019,August,4,https://coinmarketcap.com/historical/20190804/
2019,August,11,https://coinmarketcap.com/historical/20190811/
2019,August,18,https://coinmarketcap.com/historical/20190818/
2019,August,25,https://coinmarketcap.com/historical/20190825/
2019,September,1,https://coinmarketcap.com/historical/20190901/
2019,September,8,https://coinmarketcap.com/historical/20190908/
2019,September,15,https://coinmarketcap.com/historical/20190915/
2019,September,22,https://coinmarketcap.com/historical/20190922/
2019,September,29,https://coinmarketcap.com/historical/20190929/
2019,October,6,https://coinmarketcap.com/historical/20191006/
2019,October,13,https://coinmarketcap.com/historical/20191013/
2019,October,20,https://coinmarketcap.com/historical/20191020/
2019,October,27,https://coinmarketcap.com/historical/20191027/
2019,November,3,https://coinmarketcap.com/historical/20191103/
2019,November,10,https://coinmarketcap.com/historical/20191110/
2019,November,17,https://coinmarketcap.com/historical/20191117/
2019,November,24,https://coinmarketcap.com/historical/20191124/
2019,December,1,https://coinmarketcap.com/historical/20191201/
2019,December,8,https://coinmarketcap.com/historical/20191208/
2019,December,15,https://coinmarketcap.com/historical/20191215/
2019,December,22,https://coinmarketcap.com/historical/20191222/
2019,December,29,https://coinmarketcap.com/historical/20191229/
2020,January,5,https://coinmarketcap.com/historical/20200105/
2020,January,12,https://coinmarketcap.com/historical/20200112/
2020,January,19,https://coinmarketcap.com/historical/20200119/
2020,January,26,https://coinmarketcap.com/historical/20200126/
2020,February,2,https://coinmarketcap.com/historical/20200202/
2020,February,9,https://coinmarketcap.com/historical/20200209/
2020,February,16,https://coinmarketcap.com/historical/20200216/
2020,February,23,https://coinmarketcap.com/historical/20200223/
2020,March,1,https://coinmarketcap.com/historical/20200301/
2020,March,8,https://coinmarketcap.com/historical/20200308/
2020,March,15,https://coinmarketcap.com/historical/20200315/
2020,March,22,https://coinmarketcap.com/historical/20200322/
2020,March,29,https://coinmarketcap.com/historical/20200329/
2020,April,5,https://coinmarketcap.com/historical/20200405/
2020,April,12,https://coinmarketcap.com/historical/20200412/
2020,April,19,https://coinmarketcap.com/historical/20200419/
2020,April,26,https://coinmarketcap.com/historical/20200426/
2020,May,3,https://coinmarketcap.com/historical/20200503/
2020,May,10,https://coinmarketcap.com/historical/20200510/
2020,May,17,https://coinmarketcap.com/historical/20200517/
2020,May,24,https://coinmarketcap.com/historical/20200524/
2020,May,31,https://coinmarketcap.com/historical/20200531/
2020,June,7,https://coinmarketcap.com/historical/20200607/
2020,June,14,https://coinmarketcap.com/historical/20200614/
2020,June,21,https://coinmarketcap.com/historical/20200621/
2020,June,28,https://coinmarketcap.com/historical/20200628/
2020,July,5,https://coinmarketcap.com/historical/20200705/
2020,July,12,https://coinmarketcap.com/historical/20200712/
2020,July,19,https://coinmarketcap.com/historical/20200719/
2020,July,26,https://coinmarketcap.com/historical/20200726/
2020,August,2,https://coinmarketcap.com/historical/20200802/
2020,August,9,https://coinmarketcap.com/historical/20200809/
2020,August,16,https://coinmarketcap.com/historical/20200816/
2020,August,23,https://coinmarketcap.com/historical/20200823/
2020,August,30,https://coinmarketcap.com/historical/20200830/
2020,September,6,https://coinmarketcap.com/historical/20200906/
2020,September,13,https://coinmarketcap.com/historical/20200913/
2020,September,20,https://coinmarketcap.com/historical/20200920/
